City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
301,Jijiga,ET,68.34,broken clouds,9.35,42.8,RAMAAS HOTEL
307,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
308,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
309,Siuna,NI,80.53,overcast clouds,13.7332,-84.7773,hotel los chinitos
311,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
313,Bridgetown,BB,73.89,broken clouds,13.1,-59.6167,Hilton Barbados Resort
316,Samana,DO,79.02,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
318,Bowen,AU,71.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
325,Karaton,ID,77.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
326,Ejido,VE,70.72,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
328,Macherla,IN,67.75,few clouds,16.4833,79.4333,Vivek express
336,Dubbo,AU,69.93,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
342,Alcantara,BR,82.6,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
343,Formiga,BR,72.28,scattered clouds,-20.4644,-45.4264,Victor Plaza Hotel
346,Kollam,IN,80.47,clear sky,8.8833,76.6,The Raviz Ashtamudi
348,Pisco,PE,75.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
349,Raga,SS,74.82,broken clouds,8.4596,25.678,
351,Garissa,KE,80.94,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
352,Rondonopolis,BR,78.66,overcast clouds,-16.4708,-54.6356,Serras Hotel
354,Fare,PF,81.36,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
358,Mecca,SA,67.82,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
360,Waingapu,ID,76.23,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
361,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
364,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
366,Bandarbeyla,SO,76.21,broken clouds,9.4942,50.8122,JABIR HOTEL
367,Grand-Lahou,CI,79.47,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
368,Avera,US,78.67,scattered clouds,33.194,-82.5271,
373,Cayenne,GF,79.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
375,Ugoofaaru,MV,81.82,few clouds,5.6667,73.0,Ungoofaaru Inn
377,Kiama,AU,69.39,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
378,Ambam,CM,73.47,overcast clouds,2.3833,11.2833,Ambam Séjour
379,Srandakan,ID,75.97,overcast clouds,-7.9386,110.2506,Puri Brata
380,Mayumba,GA,79.36,moderate rain,-3.432,10.6554,LIKWALE LODGE
382,Atakpame,TG,81.36,scattered clouds,7.5333,1.1333,Hôtel sahélien
