City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Sechelt,49.4664,-123.7694,57.15,76,80,5.77,CA,2/13/2022 23:27
159,Beloha,-25.1667,45.05,74.46,89,13,9.64,MG,2/13/2022 23:26
160,San Patricio,28.017,-97.5169,66.61,23,35,5.37,US,2/13/2022 23:25
161,Bredasdorp,-34.5322,20.0403,65.52,72,97,8.05,ZA,2/13/2022 23:27
162,Tocopilla,-22.092,-70.1979,71.24,67,83,7.18,CL,2/13/2022 23:27
163,Oktyabrskoye,43.0645,44.7417,28.54,86,16,11.18,RU,2/13/2022 23:27
164,Namatanai,-3.6667,152.4333,82.54,72,100,5.64,PG,2/13/2022 23:27
165,Sao Filipe,14.8961,-24.4956,73.94,67,61,10.78,CV,2/13/2022 23:27
166,Aden,12.7794,45.0367,76.12,69,56,7.9,YE,2/13/2022 23:27
167,Aswan,24.0934,32.907,61.9,31,0,5.75,EG,2/13/2022 23:27
168,Chake Chake,-5.2459,39.7666,76.23,85,73,6.02,TZ,2/13/2022 23:27
169,Nemuro,43.3236,145.575,26.64,90,100,12.01,JP,2/13/2022 23:27
170,Visby,57.6409,18.296,36.77,93,100,13.8,SE,2/13/2022 23:27
171,Salinas,36.6777,-121.6555,85.98,39,0,12.66,US,2/13/2022 23:27
172,Pilar,-9.5972,-35.9567,76.93,77,86,10.36,BR,2/13/2022 23:25
173,Oloron-Sainte-Marie,43.1944,-0.6107,58.55,78,100,5.97,FR,2/13/2022 23:27
174,Kaitangata,-46.2817,169.8464,59.94,67,8,4.63,NZ,2/13/2022 23:25
175,Paramonga,-10.6667,-77.8333,73.56,76,13,9.84,PE,2/13/2022 23:27
176,Bonthe,7.5264,-12.505,78.06,88,52,6.58,SL,2/13/2022 23:27
177,Berdigestyakh,62.0989,126.6992,-31.67,100,100,1.1,RU,2/13/2022 23:28
178,Iqaluit,63.7506,-68.5145,-14.31,62,100,6.91,CA,2/13/2022 23:28
179,Saint-Philippe,-21.3585,55.7679,78.39,88,42,12.03,RE,2/13/2022 23:22
180,Dunedin,-45.8742,170.5036,59.54,64,2,4.76,NZ,2/13/2022 23:28
181,Taksimo,56.3444,114.8794,-26.93,91,24,1.5,RU,2/13/2022 23:28
182,Velingara,13.15,-14.1167,77.22,13,24,7.02,SN,2/13/2022 23:28
183,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,46,75,13.42,RU,2/13/2022 23:28
184,Kathmandu,27.7167,85.3167,44.82,100,20,0,NP,2/13/2022 23:28
185,Hermanus,-34.4187,19.2345,71.91,83,67,18.97,ZA,2/13/2022 23:28
186,Ust-Kulom,61.6864,53.6902,-1.48,100,95,1.74,RU,2/13/2022 23:28
187,Barrow,71.2906,-156.7887,-27.38,68,0,9.22,US,2/13/2022 23:28
188,Vanavara,60.34,102.2797,-23.76,99,25,4.65,RU,2/13/2022 23:28
189,Emerald,-23.5333,148.1667,80.74,50,0,13.8,AU,2/13/2022 23:28
190,Eyl,7.9803,49.8164,73.45,68,80,14.72,SO,2/13/2022 23:28
191,Kragero,58.8693,9.4149,42.58,93,100,16.35,NO,2/13/2022 23:28
192,Cidreira,-30.1811,-50.2056,69.22,93,100,4.18,BR,2/13/2022 23:28
193,Kholm,59.2667,32.85,29.37,94,100,12.8,RU,2/13/2022 23:28
194,Flinders,-34.5833,150.8552,74.48,71,100,5.99,AU,2/13/2022 23:28
195,Xai-Xai,-25.0519,33.6442,73.96,91,0,5.06,MZ,2/13/2022 23:28
196,Port Said,31.2565,32.2841,57.18,72,20,10.36,EG,2/13/2022 23:27
197,Isangel,-19.55,169.2667,84.15,73,87,10.04,VU,2/13/2022 23:28
198,Castro,-24.7911,-50.0119,66.67,91,48,4.47,BR,2/13/2022 23:25
199,Ternate,0.8,127.4,80.38,76,100,2.13,ID,2/13/2022 23:28
200,Elko,41.0002,-115.5012,59.05,32,0,3.02,US,2/13/2022 23:28
201,Inirida,3.8653,-67.9239,82.63,64,91,2.37,CO,2/13/2022 23:28
202,Surabaya,-7.2492,112.7508,75.15,100,20,1.14,ID,2/13/2022 23:25
203,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,75,6.91,CA,2/13/2022 23:28
204,Amalapuram,16.5833,82.0167,65.66,84,6,3.56,IN,2/13/2022 23:28
205,Sangod,24.9167,76.2833,56.98,35,0,4.43,IN,2/13/2022 23:28
206,Mogadishu,2.0371,45.3438,76.87,81,98,17.78,SO,2/13/2022 23:28
207,Paamiut,61.994,-49.6678,11.19,92,100,18.75,GL,2/13/2022 23:28
208,Namibe,-15.1961,12.1522,75.02,80,100,1.86,AO,2/13/2022 23:29
209,Chulumani,-16.4096,-67.5263,63.07,93,97,1.95,BO,2/13/2022 23:29
210,Havoysund,70.9963,24.6622,18.48,89,100,4.79,NO,2/13/2022 23:29
211,Vardo,70.3705,31.1107,21.4,92,100,22.62,NO,2/13/2022 23:29
212,Makakilo City,21.3469,-158.0858,79.61,47,0,11.5,US,2/13/2022 23:29
213,Halifax,44.6453,-63.5724,28.45,82,100,6.91,CA,2/13/2022 23:29
214,Urumqi,43.801,87.6005,11.35,85,0,2.24,CN,2/13/2022 23:29
215,Lokoja,7.8024,6.743,82.27,15,62,1.54,NG,2/13/2022 23:29
216,Tabou,4.423,-7.3528,77.5,86,69,4.14,CI,2/13/2022 23:29
217,Klaksvik,62.2266,-6.589,32.92,70,100,28.99,FO,2/13/2022 23:29
218,Alekseyevka,50.6309,38.6903,12.6,95,13,5.7,RU,2/13/2022 23:29
219,Ambon,-3.6954,128.1814,77.14,94,40,3.44,ID,2/13/2022 23:29
220,Sulangan,11.1373,123.7228,79.23,82,100,12.68,PH,2/13/2022 23:29
221,Pochutla,15.7432,-96.4661,87.82,52,57,6.22,MX,2/13/2022 23:29
222,Maniitsoq,65.4167,-52.9,1.67,85,100,9.13,GL,2/13/2022 23:29
223,Sergeyevka,53.88,67.4158,4.87,97,100,3.33,KZ,2/13/2022 23:30
224,Vanimo,-2.6741,141.3028,80.74,84,100,2.44,PG,2/13/2022 23:30
225,Grand Island,40.925,-98.342,41.02,39,0,16.11,US,2/13/2022 23:30
226,Gao,16.6362,1.637,69.73,12,1,9.04,ML,2/13/2022 23:30
227,Maceio,-9.6658,-35.7353,78.24,83,40,8.05,BR,2/13/2022 23:30
228,Padang,-0.9492,100.3543,76.42,78,95,4,ID,2/13/2022 23:30
229,Jardim,-21.4803,-56.1381,86.43,36,77,4.56,BR,2/13/2022 23:30
230,Rumford,44.5537,-70.5509,23.05,52,100,3.96,US,2/13/2022 23:25
231,Torres,-29.3353,-49.7269,74.82,94,94,4.09,BR,2/13/2022 23:30
232,Kuytun,54.3419,101.5036,-27.89,100,100,3.18,RU,2/13/2022 23:30
233,Avarua,-21.2078,-159.775,82.45,74,20,4.61,CK,2/13/2022 23:22
234,Severo-Kurilsk,50.6789,156.125,25.95,66,24,14.41,RU,2/13/2022 23:30
235,Noyabrsk,63.1994,75.4507,-13.07,100,97,9.24,RU,2/13/2022 23:30
236,Port Lincoln,-34.7333,135.8667,67.86,80,96,10,AU,2/13/2022 23:29
237,Shingu,33.7333,135.9833,45.91,77,100,4.25,JP,2/13/2022 23:30
238,Kontagora,10.3999,5.4695,77.31,14,8,4.97,NG,2/13/2022 23:30
239,Zhanaozen,43.3,52.8,27.48,86,24,8.32,KZ,2/13/2022 23:21
240,Nyurba,63.2842,118.3319,-22.31,100,99,1.72,RU,2/13/2022 23:30
241,Xining,36.6167,101.7667,9.01,75,14,2.28,CN,2/13/2022 23:30
242,Shenjiamen,29.9576,122.298,43.95,75,43,16.75,CN,2/13/2022 23:30
243,Elmadag,39.9208,33.2308,30.33,86,100,2.98,TR,2/13/2022 23:30
244,Canelli,44.7215,8.2924,46.42,56,7,0.96,IT,2/13/2022 23:30
245,Prunisor,44.6094,22.9153,35.71,65,100,4.63,RO,2/13/2022 23:30
246,Naryan-Mar,67.6713,53.087,-1.71,98,46,9.04,RU,2/13/2022 23:30
247,Moshi,-3.35,37.3333,69.37,71,43,3.31,TZ,2/13/2022 23:30
248,Abu Samrah,35.3029,37.1841,46.44,72,0,7.52,SY,2/13/2022 23:30
249,Geraldton,-28.7667,114.6,75.61,83,40,3.44,AU,2/13/2022 23:30
250,Perevoz,55.5961,44.5446,26.67,97,96,5.44,RU,2/13/2022 23:30
251,Cabo San Lucas,22.8909,-109.9124,83.61,41,20,11.5,MX,2/13/2022 23:29
252,Tamale,9.4008,-0.8393,85.86,37,40,0.31,GH,2/13/2022 23:26
253,Krasnyy Oktyabr,56.1167,38.8833,23.32,88,100,9.13,RU,2/13/2022 23:30
254,Yulara,-25.2406,130.9889,78.64,24,2,8.05,AU,2/13/2022 23:29
255,Upernavik,72.7868,-56.1549,-5.75,95,100,13.96,GL,2/13/2022 23:26
256,Verkhoyansk,67.5447,133.385,-20.78,94,99,1.3,RU,2/13/2022 23:30
257,Port Elizabeth,-33.918,25.5701,66.49,94,75,10.36,ZA,2/13/2022 23:29
258,Atar,20.5169,-13.0499,66.88,20,99,7.99,MR,2/13/2022 23:30
