City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
276,Te Anau,NZ,-45.4167,167.7167,52.36,78,100,6.67,overcast clouds
277,Kikwit,CD,-5.041,18.8162,70.83,93,70,2.86,broken clouds
278,Mehamn,NO,71.0357,27.8492,24.71,67,100,16.91,overcast clouds
279,Port Moresby,PG,-9.4431,147.1797,74.62,88,100,17.27,light rain
280,Fukue,JP,32.6881,128.8419,47.93,54,6,7.36,clear sky
281,Diamantino,BR,-14.4086,-56.4461,77.94,87,87,4.14,heavy intensity rain
282,Longyearbyen,SJ,78.2186,15.6401,-2.36,65,20,18.41,few clouds
283,Saint Pete Beach,US,27.7253,-82.7412,86.34,57,0,8.05,clear sky
284,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,93.83,36,97,3.74,overcast clouds
285,Isangel,VU,-19.55,169.2667,78.91,94,100,2.3,light rain
286,Dunedin,NZ,-45.8742,170.5036,58.8,90,100,15.01,overcast clouds
287,Masuda,JP,34.6667,131.85,33.53,74,5,8.08,clear sky
288,Alcains,PT,39.9164,-7.4566,52.36,73,71,5.48,broken clouds
289,Waddan,LY,29.1614,16.139,57.83,34,95,3.44,overcast clouds
290,Albanel,CA,48.8832,-72.4487,-0.26,55,95,2.3,overcast clouds
291,Micheweni,TZ,-4.9667,39.8333,81.21,78,98,11.1,overcast clouds
292,Bardiyah,LY,31.7561,25.0865,53.71,68,0,8.59,clear sky
293,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.92,96,80,2.8,moderate rain
294,Ponta Do Sol,PT,32.6667,-17.1,62.06,72,24,9.82,few clouds
295,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,0,8.05,clear sky
296,Bengkulu,ID,-3.8004,102.2655,74.52,87,83,4.43,broken clouds
297,Axim,GH,4.8699,-2.2405,79.83,90,5,7.65,clear sky
298,Richards Bay,ZA,-28.783,32.0377,69.73,83,57,4.38,broken clouds
299,Roma,US,43.2128,-75.4557,22.12,75,100,19.57,overcast clouds
300,Kargasok,RU,59.0556,80.8572,10.33,93,89,9.91,overcast clouds
301,Jijiga,ET,9.35,42.8,68.34,59,60,3.94,broken clouds
